Name,Country,Current_rapid_rating,Highest_rapid_rating,Rapid_win,Rapid_draw,Rapid_loss,Current_blitz_rating,Highest_blitz_rating,Blitz_win,Blitz_draw,Blitz_loss
"Papp, Gabor",Hungary,2342.0,2582.0,11.0,0.0,6.0,2676.0,2676.0,94.0,14.0,47.0
"Hoyos, Manuel León",Mexico,,,,,,2857.0,2916.0,847.0,172.0,900.0
"Andriasian, Zaven",Armenia,,,,,,2904.0,3017.0,447.0,185.0,203.0
"Supi, Luis Paulo",Brazil,2539.0,2759.0,18.0,7.0,8.0,2931.0,3051.0,5389.0,1174.0,3800.0
"Khachiyan, Melikset",United States,2602.0,,0.0,1.0,0.0,,,,,
"Vokhidov, Shamsiddin",Uzbekistan,2623.0,2696.0,125.0,47.0,68.0,2926.0,3017.0,1872.0,491.0,1283.0
"Efimenko, Zahar",Ukraine,2579.0,2735.0,24.0,13.0,6.0,2718.0,2806.0,237.0,68.0,153.0
"Fishbein, Alex",United States,,,,,,,,,,
"Postny, Evgeny",Israel,2437.0,2719.0,23.0,5.0,16.0,2750.0,2815.0,589.0,120.0,293.0
"Nisipeanu, Liviu Dieter",Romania,,,,,,2743.0,2778.0,71.0,13.0,28.0
"Shabalov, Alexander",United States,2524.0,2563.0,14.0,3.0,10.0,2561.0,2561.0,20.0,4.0,5.0
"Naroditsky, Daniel",United States,2555.0,2919.0,23.0,14.0,13.0,3141.0,3249.0,21375.0,4402.0,10520.0
"Smirnov, Pavel",Russia,2634.0,2679.0,28.0,12.0,9.0,2722.0,2917.0,1095.0,252.0,648.0
"Sivuk, Vitaly",Sweden,2224.0,2237.0,13.0,2.0,5.0,2641.0,2793.0,2548.0,563.0,1818.0
"Gledura, Benjamin",Hungary,2594.0,2860.0,73.0,46.0,54.0,2911.0,2991.0,1283.0,286.0,1152.0
"Avrukh, Boris",United States,2598.0,2598.0,5.0,0.0,0.0,2808.0,2808.0,295.0,57.0,121.0
,Thailand,,,,,,2898.0,3015.0,240.0,57.0,154.0
"Agrest, Evgenij",Sweden,2372.0,2600.0,13.0,2.0,19.0,2504.0,2581.0,62.0,8.0,50.0
"Phoenix, Paul",Switzerland,1493.0,1493.0,1.0,0.0,0.0,2802.0,2802.0,1846.0,255.0,1354.0
"Chirila, Cristian",United States,2600.0,2717.0,1.0,0.0,1.0,,,,,
"Kacheishvili, Giorgi",United States,2434.0,2434.0,5.0,0.0,1.0,2328.0,2556.0,23.0,3.0,8.0
"Vocaturo, Daniele",Zimbabwe,2756.0,2802.0,11.0,4.0,0.0,,,,,
"Shipov, Sergey",Russia,2547.0,2547.0,1.0,0.0,0.0,2726.0,2850.0,587.0,101.0,261.0
"Perelshteyn, Eugene",United States,,,,,,2509.0,2597.0,438.0,24.0,78.0
,United States,,,,,,,,,,
"Fier, Alex",Brazil,2512.0,2589.0,79.0,40.0,55.0,2771.0,2890.0,1685.0,361.0,1110.0
"Vocaturo, Daniele",Italy,2488.0,2720.0,4.0,5.0,6.0,2630.0,2801.0,260.0,38.0,111.0
"Atalik, Suat",Serbia,2505.0,2834.0,151.0,48.0,36.0,2712.0,2744.0,626.0,88.0,63.0
"Suri, Vaibhav",India,2532.0,2776.0,15.0,8.0,17.0,2725.0,2914.0,744.0,188.0,623.0
"Bharathakoti, Harsha",India,2430.0,2595.0,26.0,11.0,26.0,2849.0,2928.0,1637.0,299.0,949.0
"Belov, Vladimir",International,,,,,,2803.0,2807.0,241.0,42.0,112.0
"Bojkov, Dejan",Bulgaria,2257.0,2257.0,5.0,0.0,0.0,2395.0,2446.0,265.0,26.0,85.0
"Krasenkow, Michał",Poland,2441.0,2441.0,2.0,0.0,2.0,,,,,
"Goganov, Aleksey",Russia,2488.0,2633.0,10.0,2.0,4.0,2790.0,2827.0,36.0,7.0,13.0
"Tarlev, Konstantin",Ukraine,2648.0,2648.0,1.0,0.0,0.0,2877.0,2877.0,189.0,26.0,80.0
"Ramirez, Alejandro",United States,2420.0,2658.0,5.0,0.0,1.0,2725.0,2921.0,1193.0,267.0,968.0
"Stukopin, Andrey",United States,2593.0,2596.0,2.0,0.0,0.0,2687.0,2739.0,301.0,42.0,218.0
"Pashikian, Arman",Armenia,,,,,,2781.0,2871.0,421.0,138.0,396.0
"Antipov, Mikhail",United States,2593.0,2624.0,121.0,41.0,60.0,2903.0,3017.0,2370.0,336.0,1406.0
"Azarov, Sergei",International,2560.0,2660.0,37.0,26.0,30.0,2768.0,2921.0,2330.0,467.0,2376.0
"Margvelashvil, Giorgi",United States,,,,,,,,,,
"Gopal, GN",India,2593.0,2593.0,1.0,0.0,0.0,2600.0,2696.0,27.0,3.0,6.0
